Year,# of  Vulnerabilities,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1999,894,January,February,March,April,May,June,July,August,September,October,November,December
2000,1020,January,February,March,April,May,June,July,August,September,October,November,December
2001,1677,January,February,March,April,May,June,July,August,September,October,November,December
2002,2156,January,February,March,April,May,June,July,August,September,October,November,December
2003,1527,January,February,March,April,May,June,July,August,September,October,November,December
2004,2451,January,February,March,April,May,June,July,August,September,October,November,December
2005,4935,January,February,March,April,May,June,July,August,September,October,November,December
2006,6610,January,February,March,April,May,June,July,August,September,October,November,December
2007,6520,January,February,March,April,May,June,July,August,September,October,November,December
2008,5632,January,February,March,April,May,June,July,August,September,October,November,December
2009,5736,January,February,March,April,May,June,July,August,September,October,November,December
2010,4653,January,February,March,April,May,June,July,August,September,October,November,December
2011,4155,January,February,March,April,May,June,July,August,September,October,November,December
2012,5297,January,February,March,April,May,June,July,August,September,October,November,December
2013,5191,January,February,March,April,May,June,July,August,September,October,November,December
2014,7939,January,February,March,April,May,June,July,August,September,October,November,December
2015,6504,January,February,March,April,May,June,July,August,September,October,November,December
2016,6454,January,February,March,April,May,June,July,August,September,October,November,December
2017,14714,January,February,March,April,May,June,July,August,September,October,November,December
2018,16557,January,February,March,April,May,June,July,August,September,October,November,December
2019,17344,January,February,March,April,May,June,July,August,September,October,November,December
2020,18325,January,February,March,April,May,June,July,August,September,October,November,December
2021,20149,January,February,March,April,May,June,July,August,September,October,November,December
2022,7624,January,February,March,April,,,,,,,,
