Unnamed: 0,Vendor Name,Number of Products,Number of Vulnerabilities,#Vulnerabilities/#Products
1,Microsoft,670,8511,13
2,Oracle,976,8366,9
3,Google,132,7121,54
4,Debian,109,6266,57
5,Apple,141,5566,39
6,IBM,1344,5408,4
7,Redhat,444,4214,9
8,Cisco,5626,4168,1
9,Canonical,49,3232,66
10,Fedoraproject,21,3149,150
11,Linux,23,2847,124
12,Opensuse,52,2583,50
13,Mozilla,32,2347,73
14,HP,8659,1803,0
15,Apache,281,1678,6
16,SUN,206,1535,7
17,Adobe,166,1401,8
18,Netapp,297,1299,4
19,SAP,354,1077,3
20,Jenkins,468,1056,2
21,GNU,116,928,8
22,Suse,118,908,8
23,Siemens,2758,719,0
24,Gitlab,6,678,113
25,PHP,25,660,26
26,F5,192,632,3
27,Novell,121,621,5
28,Wireshark,1,618,618
29,Imagemagick,3,617,206
30,Huawei,1871,574,0
31,Vmware,166,562,3
32,Intel,7184,544,0
33,Symantec,257,538,2
34,Mcafee,146,507,3
35,Freebsd,15,474,32
36,Moodle,1,440,440
37,Joomla,162,439,3
38,Juniper,341,432,1
39,Cpanel,5,421,84
40,Dell,2044,399,0
41,XEN,6,397,66
42,EMC,203,395,2
43,Fortinet,215,387,2
44,Atlassian,55,385,7
45,Wordpress,58,381,7
46,Ffmpeg,4,377,94
47,Zohocorp,56,366,7
48,Qemu,1,365,365
49,Drupal,149,348,2
50,Broadcom,230,342,1
